"name","continent","population","area","water_percentage","gdp_nominal","gdp_pp","legislature","head_of_state","driving_side","calling_code","currency","hdi","gini","date_assumed_office","covid_cases","covid_vaccinations"
"Barbados","North America",288000,430.0,0.0,5209.0,4136.0,"Parliament","Elizabeth II","L","+1 -246","Barbadian dollar ($) (BBD)",0.814,"NULL","1966-11-30",20069.0,150015.0
"Belarus","Europe",9349645,207600.0,2.26,63080.0,192626.0,"National Assembly (??????????? ???? Nacyjanaåny schod / ???????????? ????????)","Alexander Lukashenko","R","+375","Belarusian ruble (BYN)",0.823,25.3,"1994-07-20",613927.0,2759758.0
"Belgium","Europe",11580185,30528.0,0.82,533097.0,623720.0,"Federal Parliament (Federaal Parlement / Parlement fédéral / Föderales Parlament)","Philippe of Belgium","R","+32","Euro (?) (EUR)",0.919,25.4,"2013-07-21",1414463.0,8726966.0
"Belize","North America",430191,22966.0,0.7,1906.0,2626.0,"National Assembly","Elizabeth II","R","+501","Belize dollar (BZD)",0.716,53.1,"1981-09-21",27894.0,223812.0
"Benin","Africa",12506347,114763.0,0.4,14403.0,44616.0,"National Assembly (Assemblée nationale)","Patrice Talon","R","+229","West African CFA franc (XOF)",0.545,47.8,"2016-04-06",24804.0,269540.0
"Bhutan","Asia",756129,38394.0,0.0,2564.0,8977.0,"Parliament of Bhutan","Jigme Khesar Namgyel Wangchuck","L","+975","Ngultrum (BTN) Indian rupee (?) (INR)",0.654,37.4,"2006-12-09",2623.0,588307.0
"Bolivia","South America",11797257,1098581.0,1.39,40895.0,105063.0,"Plurinational Legislative Assembly (Asamblea Legislativa Plurinacional)","Luis Arce","R","+591","Boliviano (BOB)",0.718,41.6,"2020-11-08",517902.0,4619842.0
"Bosnia and Herzegovina","Europe",3320954,51209.0,0.02,20164.0,51996.0,"Parliamentary Assembly (Parlamentarna skup¹tina / ????????????? ?????????)","Christian Schmidt (politician)","R","+387","Convertible mark (BAM)",0.78,32.7,"2021-08-01",257401.0,797531.0
"Botswana","Africa",2410338,581730.0,2.58,18340.0,43389.0,"Parliament of Botswana","Mokgweetsi Masisi","L","+267","Pula (BWP)",0.735,53.3,"2018-04-01",192935.0,722374.0
"Brazil","South America",213913905,8515767.0,0.65,1847795.0,3328459.0,"National Congress (Congresso Nacional)","Jair Bolsonaro","R","+55","Real (R$) (BRL)",0.765,53.4,"2019-01-01",21880439.0,162173032.0
"Brunei","Asia",453600,5765.0,8.67,13469.0,29731.0,"Legislative Council (Majlis Mesyuarat Negara)","Hassanal Bolkiah","L","+673","Brunei dollar (BND)",0.838,"NULL","1967-10-05",13742.0,354729.0
"Bulgaria","Europe",6875040,111002.0,2.16,67925.0,174998.0,"National Assembly (??????? ???????? Narodno sabranie)","Rumen Radev","R","+359","Lev (BGN)",0.816,40.0,"2017-01-22",632762.0,1532911.0
"Burkina Faso","Africa",21510181,274222.0,0.23,15990.0,50225.0,"National Assembly (Assemblée nationale)","Roch Marc Christian Kaboré","R","+226","West African CFA franc",0.452,38.9,"2015-12-29",15103.0,364565.0
"Burundi","Africa",12574571,27834.0,7.73,3002.0,9446.0,"Parliament (Parlement)","Évariste Ndayishimiye","R","+257","Burundian franc (FBu) (BIF)",0.433,39.2,"2020-06-18",20136.0,914.0
"Cambodia","Asia",15552211,181035.0,2.5,27097.0,78065.0,"Parliament(??????????????? ?????????????????????)","Norodom Sihamoni","R","+855","Riel (?) (KHR)",0.594,36.0,"2004-10-14",119092.0,13963921.0
"Cameroon","Africa",24348251,475442.0,0.57,38861.0,101950.0,"Parliament (Parlement)","Paul Biya","R","+237","Central African CFA franc (XAF)",0.563,46.6,"1982-11-06",104348.0,418185.0
"Canada","North America",38466876,9984670.0,8.93,1741496.0,1978816.0,"Parliament / Parlement","Elizabeth II","R","+1","Canadian dollar ($) (CAD)",0.929,30.3,"1952-02-06",1738543.0,29942114.0
"Cape Verde","Africa",563198,4033.0,0.0,1981.0,3852.0,"National Assembly (Asembleia Nacional)","Jorge Carlos Fonseca","R","+238","Cape Verdean escudo (CVE)",0.665,42.4,"2011-09-09",38256.0,293634.0
"Central African Republic","Africa",5633412,622984.0,0.0,2220.0,4985.0,"National Assembly (Assemblée nationale)","Faustin-Archange Touadéra","R","+236","Central African CFA franc (XAF)",0.397,56.3,"2016-03-30",11579.0,361984.0
"Chad","Africa",16818391,1284000.0,1.93,11271.0,27421.0,"National Assembly (Assemblée nationale / ??????? ???????)","Mahamat Déby","R","+235","Central African CFA franc (XAF)",0.398,43.3,"2021-04-20",5107.0,166793.0
"Chile","South America",19678363,756102.0,1.63,282318.0,491535.0,"National Congress (Congreso Nacional)","Sebastián Pi?era","R","+56","Chilean peso (CLP)",0.851,46.0,"2018-03-11",1709189.0,16560188.0
"China","Asia",1411778724,9596961.0,2.82,14342933.0,26656766.0,"National People's Congress (???????? Quánguó Rénmín D?ibi?o D?hu?)","Xi Jinping","R","+86","Renminbi (?/?)",0.761,46.7,"2012-11-15",97900.0,1155058478.0
"Colombia","South America",51049498,1141748.0,8.8,323802.0,780262.0,"Congress (Congreso)","Iván Duque Márquez","R","+57","Colombian peso (COP)",0.767,51.3,"2018-08-07",5015042.0,30832885.0
"Comoros","Africa",758316,1862.0,0.0,1165.0,2785.0,"Assembly of the Union (Assemblée de l'Union)","Azali Assoumani","R","+269","Comorian franc (KMF)",0.554,45.0,"2019-05-26",4315.0,273498.0
"Costa Rica","North America",5163038,51100.0,0.08,61773.0,107095.0,"Legislative Assembly (Asamblea Legislativa)","Carlos Alvarado Quesada","R","+506","Costa Rican colón (CRC)",0.81,49.7,"2018-05-08",562316.0,3751251.0
"Croatia","Europe",4036355,56594.0,1.1,60415.0,142285.0,"Croatian Assembly","Zoran Milanoviæ","R","+385","Kuna (HRK)",0.851,28.3,"2020-02-19",501327.0,1948738.0
"Cuba","North America",11181595,109884.0,0.0,105355.0,"NULL","National Assembly of People's Power (Asamblea Nacional del Poder Popular)","Miguel Díaz-Canel","R","+53","Cuban peso (CUP)",0.783,38.0,"2021-04-19",955981.0,10033315.0
"Cyprus","Europe",888005,9251.0,0.11,24565.0,37271.0,"House of Representatives (????? ??? ???????????? Vouli Antiprosópon / Temsilciler Meclisi)","Nicos Anastasiades","L","+357","Euro (?) (EUR)",0.887,29.3,"2013-02-28",125413.0,606482.0
"Czech Republic","Europe",10702942,78871.0,2.12,250680.0,460933.0,"Parliament of the Czech Republic (Parlament Èeské republiky)","Milo¹ Zeman","R","+420b","Czech koruna (CZK)",0.9,24.0,"2013-03-08",1816161.0,6325185.0
"Democratic Republic of the Congo","Africa",92378000,2344858.0,3.32,47319.0,106138.0,"Parliament (Parlement)","Félix Tshisekedi","R","+243","Congolese franc (CDF)",0.48,42.1,"2019-01-24",57605.0,110521.0
"Denmark","Europe",5850189,43094.0,1.53,350104.0,359048.0,"People's Assembly","Margrethe II of Denmark","R","+45","Danish krone",0.94,27.3,"1972-01-14",406035.0,4487996.0
"Djibouti","Africa",976107,23200.0,0.09,3166.0,6040.0,"National Assembly (Assemblée nationale / ??????? ???????)","Isma?l Omar Guelleh","R","+253","Djiboutian franc (DJF)",0.524,41.6,"1999-05-08",13491.0,66010.0
"Dominica","North America",72000,751.0,0.0,582.0,841.0,"House of Assembly","Charles Savarin","L","+1-767","East Caribbean dollar (XCD)",0.742,"NULL","2013-10-02",4961.0,27992.0
"Dominican Republic","North America",10535535,48671.0,0.72,88941.0,208957.0,"National Congress (Congreso Nacional)","Luis Abinader","R","+1-809","Dominican peso",0.756,43.7,"2020-08-16",388165.0,6778584.0
"East Timor","Asia",1317780,14919.0,0.0,2017.0,4192.0,"National Parliament (Parlamentu Nasionál / Parlamento Nacional)","Francisco Guterres","L","+670","United States dollarb (USD)",0.606,28.7,"2017-05-20",19799.0,543053.0
"Ecuador","South America",17851508,276841.0,2.37,107435.0,201194.0,"National Assembly (Asamblea Nacional)","Guillermo Lasso","R","+593","United States dollarb (USD)",0.759,45.4,"2021-05-24",519386.0,12686924.0
"Egypt","Africa",102534451,1002450.0,0.6,317359.0,1346225.0,"Parliament (??????)","Abdel Fattah el-Sisi","R","+20","Egyptian pound (E?) (EGP)",0.707,31.5,"2014-06-08",337485.0,18526300.0
"El Salvador","North America",6825935,21041.0,1.52,27022.0,57952.0,"Legislative Assembly (Asamblea Legislativa)","Nayib Bukele","R","+503","United States dollar (USD, since 2001)",0.673,38.8,"2019-06-01",116258.0,4341703.0
"Equatorial Guinea","Africa",1505588,28051.0,0.0,11024.0,26485.0,"Parliament (Parlamento / Parlement / Parlamento)","Teodoro Obiang Nguema Mbasogo","R","+240","Central African CFA franc (XAF)",0.592,"NULL","1979-08-03",13407.0,242220.0
"Eritrea","Africa",3601000,117600.0,14.12,1981.0,6706.0,"National Assembly (Hagerawi Baito)","Isaias Afwerki","R","+291","Nakfa (ERN)",0.459,"NULL","1993-05-24",6948.0,"NULL"
"Estonia","Europe",1330068,45227.0,6.28,31471.0,52813.0,"State Assembly","Alar Karis","R","+372","Euro (?) (EUR)",0.892,30.5,"2021-10-11",205096.0,807774.0
"Eswatini","Africa",1172000,17364.0,0.92,4594.0,10424.0,"Parliament (Liblanda)","Mswati III","L","+268","Lilangeni (SZL)",0.611,54.6,"1986-04-25",46457.0,246064.0
"Ethiopia","Africa",117876000,1104300.0,0.7,92750.0,293485.0,"Parliament","Sahle-Work Zewde","R","+251","Birr (ETB)",0.485,35.0,"2018-10-25",367210.0,3664112.0
"Federated States of Micronesia","Oceania",105754,702.0,0.0,414.0,354.0,"Congress","David W. Panuelo","R","+691","United States dollar (USD)",0.62,40.1,"2019-05-11",1.0,"NULL"
"Fiji","Oceania",898402,18272.0,0.0,5504.0,11126.0,"Parliament","Jioji Konrote","L","+679","Fijian dollar (FJD)",0.743,36.4,"2015-11-12",52247.0,629006.0
"Finland","Europe",5516184,338425.0,10.15,269296.0,286858.0,"Parliament (Eduskunta / Riksdagen)","Sauli Niinistö","R","+358","Euro (?) (EUR)",0.938,26.2,"2012-03-01",162476.0,4245507.0
"France","Europe",67486000,640679.0,0.52,2715518.0,3231927.0,"Parliament (Parlement)","Emmanuel Macron","R","+33","Euro (?) (EUR)",0.901,29.2,"2017-05-14",7319526.0,51321440.0
"Gabon","Africa",2233272,267668.0,3.74,16887.0,34676.0,"Parliament (Parlement)","Ali Bongo Ondimba","R","+241","Central African CFA franc (XAF)",0.703,38.0,"2009-10-16",36174.0,132383.0
"Georgia","Asia",3728573,69700.0,0.0,17742.0,58226.0,"Parliament of Georgia (??????????? ?????????? Sak'art'velos Parlamenti)","Salome Zourabichvili","R","+995","Georgian lari (?) (GEL)",0.812,35.9,"2018-12-16",752855.0,1052398.0
"Germany","Europe",83129285,357114.0,2.34,3861123.0,4743673.0,"Federal Diet","Frank-Walter Steinmeier","R","NULL","Euro (?) (EUR)",0.947,29.7,"2017-03-19",4792463.0,57954075.0
"Ghana","Africa",30792608,238533.0,4.61,66999.0,186682.0,"Parliament","Nana Akufo-Addo","R","+233","Cedi (GHS)",0.611,43.5,"2017-01-07",130391.0,2269003.0
"Greece","Europe",10718565,131957.0,0.99,205326.0,325304.0,"Hellenic Parliament","Katerina Sakellaropoulou","R","+30","Euro (?) (EUR)",0.888,31.4,"2020-03-13",784904.0,6711561.0
"Grenada","North America",113000,344.0,0.0,1211.0,1747.0,"Parliament","Elizabeth II","L","+1-473","East Caribbean dollar (XCD)",0.779,"NULL","1974-02-07",5861.0,38205.0
"Guatemala","North America",17109746,108889.0,1.59,76710.0,158570.0,"Congress of the Republic (Congreso de la República)","Alejandro Giammattei","R","+502","Quetzal (GTQ)",0.663,48.3,"2020-01-14",605664.0,5423686.0
"Guinea","Africa",12907395,245857.0,0.06,12354.0,39093.0,"National Assembly (Assemblée nationale)","Mamady Doumbouya","R","+224","Guinean franc (GNF)",0.477,33.7,"2021-10-01",30681.0,1529984.0
"Guinea-Bissau","Africa",1646077,36125.0,22.16,1322.0,4469.0,"National People's Assembly (Assembleia Nacional Popular)","Umaro Sissoco Embaló","R","+245","West African CFA franc (XOF)",0.48,50.7,"2020-02-27",6150.0,167199.0
"Guyana","South America",743699,214969.0,8.43,5173.0,18357.0,"National Assembly","Irfaan Ali","L","+592","Guyanese dollar (GYD)",0.682,44.6,"2020-08-02",36079.0,384934.0
"Haiti","North America",11743017,27750.0,0.68,8051.0,34189.0,"Haitian Parliament (Parlement Ha?tien / Palman Ayisyen)","Ariel Henry","R","+509","Gourde (G) (HTG)",0.51,41.1,"2021-07-20",24073.0,96384.0
"Honduras","North America",9450711,112492.0,0.18,25095.0,57649.0,"National Congress (Congreso Nacional)","Juan Orlando Hernández","R","+504","Lempira (HNL)",0.632,52.1,"2014-01-27",376281.0,3847285.0
"Hungary","Europe",9730772,93028.0,3.68,163469.0,342708.0,"National Assembly (Országgyûlés)","János Áder","R","+36","Forint (HUF)",0.854,28.3,"2012-05-10",892164.0,5974514.0
"Iceland","Europe",374830,103000.0,2.67,24188.0,21520.0,"Assembly of All","Gu?ni Th. Jóhannesson","R","+354","Icelandic króna (ISK)",0.949,23.2,"2016-08-01",14255.0,283301.0
"India","Asia",1384048264,3287263.0,9.55,2891582.0,10207290.0,"Parliament (???? Sansad)","Ram Nath Kovind","L","+91","Indian rupee (?) (INR)",0.645,35.7,"2017-07-25",34366987.0,741210655.0
"Indonesia","Asia",271350000,1904569.0,4.87,1119190.0,3507239.0,"People's Consultative Assembly (Majelis Permusyawaratan Rakyat)","Joko Widodo","L","+62","Rupiah (Rp) (IDR)",0.718,38.2,"2014-10-20",4248165.0,125105963.0
"Iran","Asia",84924332,1648195.0,7.07,603779.0,1148580.0,"Islamic Consultative Assembly","Ali Khamenei","R","+98","Iranian rial (????) (IRR)",0.783,42.0,"1989-06-04",5987814.0,54764071.0
"Iraq","Asia",41190700,438317.0,0.22,225232.0,413316.0,"Council of Representatives of Iraq","Barham Salih","R","+964","Iraqi dinar (IQD)",0.674,29.5,"2018-10-02",2062863.0,6062577.0
"Israel","Asia",9426140,20770.0,2.12,395098.0,399488.0,"Assembly","Isaac Herzog","R","+972","New shekel (??) (ILS)",0.919,34.8,"2021-07-07",1333989.0,6248565.0
"Italy","Europe",59108671,301339.0,2.39,2003576.0,2610563.0,"Parliament (Parlamento)","Sergio Mattarella","R","+39c","Euro (?)b (EUR)",0.892,32.8,"2015-02-03",4808047.0,46742826.0
"Ivory Coast","Africa",27087732,322463.0,1.38,58539.0,156038.0,"Parliament (Parlement)","Alassane Ouattara","R","+225","West African CFA franc (XOF)",0.538,41.5,"2010-12-04",61421.0,2314075.0
"Jamaica","North America",2734093,10991.0,1.46,15830.0,28209.0,"Parliament","Elizabeth II","L","+1-876","Jamaican dollar (JMD)",0.734,35.0,"1962-08-06",89681.0,607364.0
"Japan","Asia",125120000,377976.0,3.55,5082465.0,5585786.0,"Diet (?? Kokkai)","Naruhito","L","+81","Japanese yen (?)",0.919,33.4,"2019-05-01",1723682.0,98716956.0
"Jordan","Asia",11072212,89342.0,0.6,44502.0,109296.0,"Parliament (???? ????? Majlis al-Umma)","Abdullah II of Jordan","R","+962","Jordanian dinar (JOD)",0.729,35.4,"1999-02-07",875804.0,4004226.0
"Kazakhstan","Asia",19034216,2724900.0,0.92,181667.0,526746.0,"Parliament (?????????? Parlamenti)","Nursultan Nazarbayev","R","+7-6xx","Tenge (?) (KZT)",0.825,27.5,"2019-04-25",1029986.0,8403514.0
"Kenya","Africa",47564296,580367.0,1.93,95501.0,262669.0,"Parliament (Bunge)","Uhuru Kenyatta","L","+254","Kenyan shilling (KES)",0.601,40.8,"2013-04-09",253833.0,3787211.0
"Kiribati","Oceania",120740,811.0,0.0,194.0,270.0,"House of Assembly (Maneaba ni Maungatabu)","Taneti Maamau","L","+686","Australian dollar",0.63,"NULL","2016-03-11",2.0,54026.0
"Kuwait","Asia",4670713,17818.0,0.0,134623.0,208323.0,"National Assembly (???? ????? Majlis al-Umma)","Nawaf Al-Ahmad Al-Jaber Al-Sabah","R","+965","Kuwaiti dinar (KWD)",0.806,"NULL","2020-09-30",412844.0,2668082.0
"Kyrgyzstan","Asia",6663000,199951.0,4.08,8454.0,35419.0,"Supreme Council (??????? ????? Jo?orku Ke?eº)","Sadyr Japarov","R","+996","Kyrgyzstani som (c) (KGS)",0.697,27.7,"2021-01-28",181830.0,1014402.0
"Laos","Asia",7337783,236800.0,2.53,18822.0,62797.0,"National Assembly (??????????? Sapha Heng Xat)","Thongloun Sisoulith","R","+856","Kip (?) (LAK)",0.613,36.4,"2021-01-15",47056.0,3251958.0
"Latvia","Europe",1880700,64559.0,3.62,34102.0,63539.0,"Parliament","Egils Levits","R","+371","Euro (?) (EUR)",0.866,35.2,"2019-07-08",231824.0,1199025.0
"Lebanon","Asia",6769000,10452.0,1.63,56409.0,78931.0,"Parliament(Parlement)","Michel Aoun","R","+961","Lebanese pound (LBP)",0.744,31.8,"2016-10-31",646629.0,1804857.0
"Lesotho","Africa",2159000,30355.0,0.0,2460.0,5904.0,"Parliament (Palamente)","Letsie III of Lesotho","L","+266","Loti (LSL)South African rand (ZAR)",0.527,44.9,"1996-02-07",21685.0,347836.0
"Liberia","Africa",4661010,111369.0,13.51,2582.0,7706.0,"Legislature","George Weah","R","+231","Liberian dollar (LRD)",0.48,35.3,"2018-01-22",5815.0,393975.0
"Libya","Africa",6959000,1759540.0,0.0,32600.0,92083.0,"House of Representatives ( ???? ?????? Majlis an-Nuwwab)","Mohamed al-Menfi","R","+218","Libyan dinar (LYD)",0.724,"NULL","2021-03-15",360914.0,1560096.0
"Liechtenstein","Europe",39062,160.0,0.0,6797.0,"NULL","Diet","Hans-Adam II, Prince of Liechtenstein","R","+423","Swiss franc (CHF)",0.919,"NULL","1989-11-13",3728.0,25244.0
"Lithuania","Europe",2780427,65300.0,4.01,54627.0,114035.0,"Parliament","Gitanas Naus?da","R","+370","Euro (?) (EUR)",0.882,35.4,"2019-07-12",427118.0,1823303.0
"Luxembourg","Europe",634730,2586.0,0.0,71104.0,78309.0,"Chamber of Deputies (D'Chamber / Chambre des députés / Abgeordnetenkammer)","Henri, Grand Duke of Luxembourg","R","+352","Euro (?) (EUR)",0.916,32.3,"2000-10-07",82842.0,440811.0
"Madagascar","Africa",26923353,587041.0,0.94,14104.0,46350.0,"Parliament (Palemanta / Parlement)","Andry Rajoelina","R","+261","Ariary (MGA)",0.528,42.6,"2019-01-19",43632.0,381633.0
"Malawi","Africa",18898441,118484.0,20.6,8099.0,21576.0,"National Assembly","Lazarus Chakwera","L","+265","Malawian kwacha (D) (MWK)",0.483,44.7,"2020-06-28",61815.0,999312.0
"Malaysia","Asia",32726000,330803.0,0.35,364684.0,978781.0,"Parliament (Parlimen)","Abdullah of Pahang","L","+60","Ringgit (RM) (MYR)",0.81,41.0,"2019-01-31",2506309.0,25502897.0
"Maldives","Asia",383135,300.0,0.0,5642.0,8972.0,"People's Assembly","Ibrahim Mohamed Solih","L","+960","Maldivian rufiyaa (MVR)",0.74,31.3,"2018-11-17",88817.0,394801.0
"Mali","Africa",20856000,1240192.0,1.61,17432.0,49987.0,"National Assembly (Assemblée nationale)","Assimi Go?ta","R","+223","West African CFA franc (XOF)",0.434,33.0,"2021-05-24",16371.0,324713.0
"Malta","Europe",514564,316.0,0.0,14863.0,23501.0,"Parliament (Il-Parlament)","George Vella","L","+356","Euro (?) (EUR)",0.895,28.0,"2019-04-04",37904.0,431973.0
"Marshall Islands","Oceania",54516,181.0,98.47,237.0,210.0,"Legislature (Nitije??)","David Kabua","R","+692","United States dollar (USD)",0.704,"NULL","2020-01-13",4.0,"NULL"
"Mauritania","Africa",4271197,1030700.0,0.44,7593.0,25409.0,"Parliament (???????? Barlamene)","Mohamed Ould Ghazouani","R","+222","Ouguiya (MRU)",0.546,32.6,"2019-08-01",37703.0,1002548.0
"Mauritius","Africa",1266334,2040.0,0.49,14180.0,27909.0,"National Assembly (Assemblée nationale)","Prithvirajsing Roopun","L","+230","Mauritian rupee (MUR)",0.804,36.8,"2019-12-02",18314.0,905034.0
"Mexico","North America",126014024,1964375.0,1.04,1256440.0,2613797.0,"Congress of the Union (Congreso de la Unión)","Andrés Manuel López Obrador","R","+52","Mexican peso (MXN)",0.779,41.8,"2018-12-01",3826786.0,74937548.0
"Moldova","Europe",2597100,33846.0,2.84,11955.0,35906.0,"Parliament (Parlamentul)","Maia Sandu","R","+373","Moldovan leu (MDL)",0.75,25.7,"2020-12-24",345964.0,884590.0
"Monaco","Europe",38350,2.02,0.0,7423.0,"NULL","National Council (Conseil National)","Albert II, Prince of Monaco","R","+377","Euro (?) (EUR)","NULL","NULL","2005-04-06",3436.0,26672.0
"Mongolia","Asia",3406308,1564110.0,0.68,13852.0,42412.0,"State Great Assembly","Ukhnaagiin Khürelsükh","R","+976","Tögrög (MNT)",0.737,32.7,"2021-06-25",367412.0,2256066.0
"Montenegro","Europe",621306,13812.0,2.61,5542.0,13313.0,"Assembly (Skup¹tina / ?????????)","Milo Ðukanoviæ","R","+382","Euro (?)a (EUR)",0.829,34.1,"2018-05-20",148579.0,260374.0
"Morocco","Africa",36419854,446550.0,0.06,119700.0,291495.0,"Parliament (???????? ??????? / ???????? ??????? / Parlement)","Mohammed VI of Morocco","R","+212","Moroccan dirham (MAD)",0.686,40.3,"1999-07-23",947396.0,24259320.0
"Mozambique","Africa",30832244,801590.0,1.63,15296.0,"NULL","Assembly of the Republic (Assembleia da República)","Filipe Nyusi","L","+258","Metical (MZN)",0.456,45.7,"2015-01-15",151368.0,4159380.0
"Myanmar","Asia",55294979,676578.0,3.41,76784.0,258677.0,"Assembly of the Union (???????????????????? Pyidaungsu Hluttaw)","Min Aung Hlaing","R","+95","Kyat (K) (MMK)",0.583,30.7,"2021-02-02",506816.0,13244996.0
"Namibia","Africa",2550226,825615.0,0.12,12366.0,24843.0,"Parliament","Hage Geingob","L","+264","Namibian dollar  (NAD)",0.646,59.1,"2015-03-21",129009.0,333506.0
"Nauru","Oceania",11832,21.0,0.0,132.0,132.0,"Parliament","Lionel Aingimea","L","+674","Australian dollar (AUD)","NULL","NULL","2019-08-27","NULL",7612.0
"Nepal","Asia",30378055,147181.0,2.6,30714.0,122629.0,"Federal Parliament (????? ???? Sanghiya Sansad)","Bidhya Devi Bhandari","L","+977","Nepalese rupee (Rs, ??) (NPR)",0.602,32.8,"2015-10-29",814558.0,8670024.0
"Netherlands","Europe",17655431,41850.0,18.41,907050.0,1055502.0,"States General (Staten-Generaal)","Willem-Alexander of the Netherlands","R","+31","Euro (?) (EUR)US dollar ($) (USD)",0.944,27.5,"2013-04-30",2241183.0,13032981.0
"New Zealand","Oceania",5134312,270467.0,1.65,206936.0,226566.0,"Parliament (P?remata)","Elizabeth II","L","+64","New Zealand dollar ($) (NZD)",0.931,33.9,"1952-02-06",7649.0,3755550.0
"Nicaragua","North America",6595674,130373.0,7.96,12520.0,36964.0,"National Assembly (Asamblea Nacional)","Daniel Ortega","R","+505","Córdoba (NIO)",0.66,46.2,"2007-01-10",16699.0,944476.0
"Niger","Africa",24112753,1267000.0,0.02,12927.0,33162.0,"National Assembly (Assemblée nationale)","Mohamed Bazoum","R","+227","West African CFA franc (XOF)",0.394,34.0,"2021-04-02",6490.0,498894.0
"Nigeria","Africa",211401000,923768.0,1.41,474516.0,1116255.0,"National Assembly","Muhammadu Buhari","R","+234","Naira (?) (NGN)",0.539,35.1,"2015-05-30",212713.0,5701796.0
"North Korea","Asia",25660000,120540.0,0.11,16331.0,12100.0,"Supreme People's Assembly (?????? / ?????? Ch'oe-go In-min Hoe-?i)","Kim Jong-un","R","+850","Korean People's won (?) (KPW)","NULL","NULL","2012-04-11","NULL","NULL"
"North Macedonia","Europe",2068808,25713.0,1.09,12694.0,36673.0,"Assembly (???????? Sobranie)","Stevo Pendarovski","R","+389","Macedonian denar (MKD)",0.774,30.7,"2019-05-12",206077.0,846247.0
"Norway","Europe",5402171,385207.0,5.0,403336.0,374994.0,"Great Assembly","Harald V of Norway","R","+47","Norwegian krone (NOK)",0.957,25.4,"1991-01-17",216855.0,4210216.0
"Oman","Asia",4513666,309500.0,0.0,76331.0,138998.0,"Council of Oman (???? ??????)","Haitham bin Tarik","R","+968","Omani rial (OMR)",0.813,30.75,"2020-01-11",304365.0,3065137.0
"Pakistan","Asia",225200000,907843.0,2.86,263000.0,1110075.0,"Parliament of Pakistan (????????)","Arif Alvi","L","+92","Pakistani rupee (?) (PKR)",0.557,31.6,"2018-09-09",1277160.0,74621225.0
"Palau","Oceania",17957,459.0,0.0,280.0,229.0,"National Congress (Olbiil era Kelulau)","Surangel Whipps Jr.","R","+680","United States dollar (USD)",0.826,"NULL","2021-01-21",8.0,"NULL"
