"name","language"
"Rwanda","English"
"Rwanda","French"
"Rwanda","Kinyarwanda"
"Rwanda","Swahili"
"Saint Kitts and Nevis","English"
"Saint Lucia","English"
"Saint Vincent and the Grenadines","English"
"Bolivia","Castilian (Spanish)"
"Samoa","English"
"San Marino","Italian"
"S?o Tomé and Príncipe","Portuguese"
"Saudi Arabia","Arabic"
"Senegal","French"
"Serbia","Serbian"
"Seychelles","English"
"Seychelles","French"
"Seychelles","Seychellois Creole"
"Sierra Leone","English"
"Bolivia","Aymara"
"Singapore","English"
"Singapore","Malay"
"Singapore","Mandarin Chinese"
"Singapore","Tamil"
"Slovakia","Slovak"
"Slovenia","Slovene"
"Solomon Islands","English"
"Somalia","Arabic"
"South Africa","Afrikaans"
"South Africa","English"
"Bolivia","Araona"
"South Africa","Southern Ndebele"
"South Africa","Sotho"
"South Africa","Northern Sotho"
"South Africa","Swazi"
"South Africa","Tsonga"
"South Africa","Tswana"
"South Africa","Venda"
"South Africa","Xhosa"
"South Africa","Zulu"
"South Sudan","English"
"Bolivia","Baure"
"Spain","Spanish"
"Sri Lanka","Sinhala"
"Sri Lanka","Tamil"
"Sudan","Arabic"
"Sudan","English"
"Suriname","Dutch"
"Sweden","Swedish"
"Switzerland","French "
"Switzerland","German "
"Switzerland","Italian "
"Bolivia","Bésiro"
"Switzerland","Romansh "
"Syria","Arabic"
"Tajikistan","Tajik"
"Tanzania","English"
"Thailand","Thai"
"Togo","French"
"Tonga","English"
"Tonga","Tongan"
"Trinidad and Tobago","English"
"Tunisia","Arabic"
"Algeria","Arabic"
"Bolivia","Canichana"
"Tunisia","French"
"Turkey","Turkish"
"Turkmenistan","Turkmen"
"Tuvalu","Tuvaluan"
"Tuvalu","English"
"Uganda","English"
"Uganda","Swahili"
"Ukraine","Ukrainian"
"United Arab Emirates","Arabic"
"Bolivia","Cavine?o"
"Uzbekistan","Uzbek"
"Vanuatu","English"
"Vanuatu","French"
"Vatican City","Italian"
"Venezuela","Spanish"
"Venezuela","Venezuelan Sign Language"
"Vietnam","Vietnamese"
"Yemen","Arabic"
"Bolivia","Cayubaba"
"Zambia","English"
"Zimbabwe","Chewa"
"Zimbabwe","Chibarwe"
"Zimbabwe","English"
"Zimbabwe","Kalanga"
"Zimbabwe","Khoisan"
"Zimbabwe","Nambya"
"Zimbabwe","Ndau"
"Zimbabwe","Ndebele"
"Zimbabwe","Shangani"
"Bolivia","Chácobo"
"Zimbabwe","Shona"
"Zimbabwe","Sign language"
"Zimbabwe","Sotho"
"Zimbabwe","Tonga"
"Zimbabwe","Tswana"
"Zimbabwe","Venda"
"Zimbabwe","Xhosa"
"Bolivia","Chimán"
"Bolivia","Ese Ejja"
"Bolivia","Guaraní"
"Bolivia","Guarasu'we"
"Bolivia","Guarayu"
"Bolivia","Itonama"
"Algeria","Tamazight"
"Bolivia","Leco"
"Bolivia","Machajuyai-Kallawaya"
"Bolivia","Machineri"
"Bolivia","Maropa"
"Bolivia","Moje?o-Ignaciano"
"Bolivia","Moje?o-Trinitario"
"Bolivia","Moré"
"Bolivia","Mosetén"
"Bolivia","Movima"
"Bolivia","Pacawara"
"Andorra","Catalan"
"Bolivia","Puquina"
"Bolivia","Quechua"
"Bolivia","Sirionó"
"Bolivia","Tacana"
"Bolivia","Tapieté"
"Bolivia","Toromona"
"Bolivia","Uru-Chipaya"
"Bolivia","Weenhayek"
"Bolivia","Yaminawa"
"Bolivia","Yuki"
"Angola","Portuguese"
"Bolivia","Yuracaré"
"Bolivia","Zamuco"
"Botswana","English"
"Botswana","Tswana"
"Brazil","Portuguese"
"Brunei","Malay"
"Brunei","English"
"Bulgaria","Bulgarian"
"Burkina Faso","French"
"Antigua and Barbuda","English"
"Burundi","French"
"Burundi","Kirundi"
"Burundi","English"
"Cambodia","Khmer"
"Cameroon","English"
"Cameroon","French"
"Canada","English "
"Canada","French "
"Cape Verde","Portuguese"
"Central African Republic","French"
"Chad","Arabic"
"Chad","French"
"China","Mandarin Chinese"
"Colombia","Spanish"
"Comoros","Arabic"
"Comoros","Comorian"
"Comoros","French"
"Democratic Republic of the Congo","French"
"Republic of the Congo","French"
"Armenia","Armenian"
"Costa Rica","Spanish"
"Croatia","Croatian"
"Cuba","Spanish"
"Cyprus","Greek"
"Cyprus","Turkish"
"Czech Republic","Czech"
"Czech Republic","Slovak"
"Denmark","Danish"
"Djibouti","Arabic"
"Djibouti","French"
